track_id,batch_id,temp
0,0,1.2206896551724091
1,0,-0.9483870967741892
1,1,-0.8903225806451657
2,0,0.7250000000000021
2,1,-0.8136363636363626
3,0,1.0549999999999955
3,1,-0.029999999999995454
3,2,-1.0700000000000045
4,0,-0.07755102040816234
4,1,-0.45918367346938777
4,2,-0.16530612244898238
5,0,0.7044444444444454
5,1,-0.6311111111111081
5,2,0.49777777777777477
5,3,0.27555555555555755
6,0,0.058536585365855875
6,1,0.06829268292682816
6,2,-0.10975609756097561
6,3,-0.32926829268292684
6,4,-0.01951219512195011
7,0,0.13191489361702224
7,1,-0.006382978723408125
7,2,0.1957446808510648
7,3,0.025531914893617988
7,4,-0.09574468085106383
8,0,0.04772727272727066
8,1,-0.6499999999999979
8,2,0.17045454545454544
8,3,-0.23181818181818284
8,4,0.009090909090911158
8,5,0.00909090909090599
9,0,0.5857142857142866
9,1,0.23877551020408255
9,2,0.11224489795918367
9,3,-0.5265306122448971
9,4,0.2571428571428553
9,5,-0.21428571428571427
10,0,0.41086956521739326
10,1,-0.21956521739130236
10,2,-0.6434782608695682
10,3,0.04130434782608893
10,4,0.23478260869565118
10,5,-0.24130434782608498
10,6,0.4108695652173883
11,0,-0.22045454545454649
11,1,-0.03863636363636467
11,2,-0.09318181818181612
11,3,-0.4000000000000031
11,4,0.5227272727272727
11,5,0.013636363636366737
11,6,-0.03863636363636467
11,7,-0.011363636363636364
12,0,0.0617021276595764
12,1,-0.17659574468085493
12,2,-0.36382978723404064
12,3,0.03829787234042457
12,4,-0.017021276595743713
12,5,0.20851063829787136
12,6,-0.1595744680851064
12,7,0.0914893617021267
13,0,-0.0630434782608666
13,1,0.19130434782608596
13,2,0.008695652173910077
13,3,-0.24130434782608498
13,4,-0.17608695652173714
13,5,0.7847826086956502
13,6,-0.14130434782608695
13,7,0.026086956521740118
13,8,-0.44130434782608596
14,0,0.10816326530612153
14,1,-0.2755102040816326
14,2,-0.336734693877551
14,3,0.6000000000000019
14,4,-0.3428571428571466
14,5,-0.14081632653060946
14,6,0.47346938775510294
14,7,-0.28367346938775695
14,8,0.1775510204081642
15,0,-0.07234042553191683
15,1,-0.11702127659574468
15,2,0.1468085106382998
15,3,-0.5468085106382988
15,4,0.1702127659574468
15,5,0.07659574468084913
15,6,0.3659574468085116
15,7,0.23404255319148937
15,8,-0.2787234042553172
15,9,0.1999999999999971
16,0,-0.06888888888889191
16,1,-0.026666666666667678
16,2,-0.5066666666666657
16,3,-0.03777777777777879
16,4,-0.006666666666665656
16,5,0.4
16,6,-0.21555555555555656
16,7,0.16444444444444647
16,8,-0.09111111111110909
16,9,-0.1488888888888899
16,10,0.0488888888888899
17,0,0.43541666666666856
17,1,-0.28333333333333616
17,2,0.020833333333333332
17,3,-0.24583333333333238
17,4,0.13333333333333522
17,5,0.052083333333333336
17,6,-0.5625
17,7,0.40625
17,8,0.20208333333333428
17,9,-0.09583333333333617
17,10,-0.22291666666666762
18,0,-0.04565217391304644
18,1,-0.13260869565217193
18,2,-0.07608695652173914
18,3,-0.3804347826086957
18,4,0.5195652173913063
18,5,-0.05869565217391403
18,6,-0.5260869565217401
18,7,0.32826086956521544
18,8,0.1695652173913083
18,9,0.18913043478260474
18,10,-0.341304347826083
18,11,0.4173913043478221
19,0,0.3489795918367328
19,1,-0.2571428571428553
19,2,-0.4653061224489787
19,3,0.16122448979591558
