x,y,temp_std,layer_id,temp_boxcox_cs
56,1,-1.7379138406542847,1,12.20779470773624
62,1,-1.8161858058994327,1,10.82282591183197
68,2,-2.182259203105959,1,5.807984108713912
48,3,-2.951795764220555,1,0.8782967239374202
53,4,-1.8085026010993286,1,10.953416559383086
32,5,-1.663136215859531,1,13.648158353950976
55,5,-1.7153175271080996,1,12.630667458841542
61,5,-1.9756153597792465,1,8.360894713670737
37,6,-1.856517866294524,1,10.155876115251614
50,6,-1.827323900042128,1,10.635537969359097
51,6,-2.5201466798043106,1,2.905780455925853
68,6,-1.6796320683421126,1,13.320237031895086
32,7,-1.7994612441496138,1,11.108562627091924
48,7,-2.010833839498974,1,7.877548958374203
50,7,-1.8781335621707786,1,9.811043705594034
54,7,-1.6432232076375088,1,14.051861390695864
61,7,-1.7341811666291223,1,12.27692245104553
33,8,-2.3989694628699203,1,3.78758628291949
37,8,-1.6732624960452447,1,13.4461643095731
42,8,-1.8889764014859536,1,9.641323346619574
51,8,-1.8359397832233524,1,10.49229398238604
55,8,-2.162157656121029,1,6.027600540975785
33,9,-2.3807476673588,1,3.934591661827805
45,9,-1.6329348828148682,1,14.26384274449411
47,9,-2.219628454354816,1,5.415034505028426
48,9,-1.8754436345030645,1,9.853483426191652
49,9,-2.3293020746219324,1,4.371258914809316
50,9,-2.6656833251648653,1,2.0466678383661208
51,9,-1.805930708811907,1,10.997386916791033
17,10,-2.4828375474074584,1,3.1601295235942035
19,10,-2.403577944225387,1,3.7510268983369004
33,10,-1.961646370602666,1,8.558439583482464
37,10,-1.6915880330701976,1,13.08620596648684
42,10,-2.417601400558225,1,3.6412987334939815
46,10,-2.50785501094987,1,2.987953135894764
47,10,-2.0646724794694156,1,7.178228155811973
51,10,-2.015994229692024,1,7.8084693298844465
60,10,-1.9552960817823721,1,8.649354872457087
20,11,-2.3545560784170574,1,4.1528561255616445
21,11,-1.8649147899603555,1,10.020888413453942
33,11,-2.1256425302028705,1,6.441702138742476
37,11,-2.021447699518892,1,7.735944449991094
44,11,-1.7468053269075337,1,12.044276772805818
50,11,-1.6952187785076405,1,13.01573743241994
52,11,-2.230104577372463,1,5.308379552536783
93,11,-2.4763600318173298,1,3.2058029363611324
4,12,-1.7769483679423268,1,11.501853792167637
24,12,-2.3006841079458553,1,4.628432038491498
